single_category,avg_rating,total_reviews
Charity-schools,4.49,1523
Juvenile Nonfiction,4.47,6815
Games & Activities,4.46,1116
Poetry,4.42,1829
Gardening,4.41,1029
Drama,4.39,1623
Juvenile Fiction,4.38,19465
Cooking,4.38,8071
Self-Help,4.38,5067
Comics & Graphic Novels,4.38,2514
Bibles,4.38,1082
Nature,4.37,2433
HarperBusiness,4.37,1055
Pets,4.35,3010
Art,4.34,2414
Crafts & Hobbies,4.33,3736
Young Adult Fiction,4.33,1992
Religion,4.32,21341
Family & Relationships,4.31,8993
Body,4.3,7163
Mind & Spirit,4.3,7163
Psychology,4.3,4583
Medical,4.29,1858
Education,4.28,4951
Music,4.27,4739
Sports & Recreation,4.27,4301
Literary Criticism,4.27,2044
Health & Fitness,4.26,8565
Performing Arts,4.26,2389
Biography & Autobiography,4.25,14760
Mathematics,4.24,1884
Photography,4.23,1149
Business & Economics,4.22,12673
History,4.21,13529
Reference,4.19,2100
Language Arts & Disciplines,4.18,3256
Philosophy,4.18,3128
Games,4.18,1236
True Crime,4.17,1424
Social Science,4.13,5420
Science,4.13,4787
Technology & Engineering,4.08,2339
Fiction,4.07,70756
Travel,4.07,1929
Humor,4.03,2865
Foreign Language Study,4.03,2809
Transportation,4.01,1285
Law,4.01,1038
Computers,4.0,10347
Study Aids,3.93,1114
Political Science,3.85,3915
