publisher,total_books_published,total_reviews,avg_rating
Simon and Schuster,670,15696,4.18
Penguin,470,12713,4.1
John Wiley & Sons,745,9038,4.14
Harper Collins,320,7461,4.07
Dell,41,3789,3.3
Vintage,149,3385,4.06
Penguin UK,88,3079,4.17
Cambridge University Press,817,2996,4.18
iUniverse,540,2734,4.17
Houghton Mifflin Harcourt,228,2695,4.35
Macmillan,169,2562,4.13
Courier Corporation,323,2480,4.22
Routledge,856,2423,4.15
Random House,105,2328,4.3
Ballantine Books,75,2231,4.15
Library of Alexandria,11,2198,4.04
HarperCollins,76,2117,4.37
